"From: Sep 1, 2015, 12:00:27 AM To: Sep 28, 2015, 12:00:05 AM
Generated On: Sep 28, 2015, 10:16:49 AM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Food: Iceburg Wedge Full","5","$38.80","0","$0.00","$38.80"
"Food: Jager Schnitzel","53","$935.10","0","$0.00","$935.10"
"Food: Junior Spaghetti w Meatball","1","$8.00","0","$0.00","$8.00"
"Food: Lamb Lollies","12","$177.75","0","$0.00","$177.75"
"Food: Lunch Beef Lasagna ","72","$715.00","0","$0.00","$715.00"
"Food: Lunch Chik Breast","9","$108.00","0","$0.00","$108.00"
"Food: Lunch Fish Of Day","73","$852.60","0","$0.00","$852.60"
"Food: Lunch Garden Salad","90","$0.90","0","$0.00","$0.90"
"Food: Lunch Greek Salad","103","$1.01","0","$0.00","$1.01"
"Food: Lunch Mini Burger ","23","$234.00","0","$0.00","$234.00"
"Food: Lunch Pasta Of Day","62","$588.50","0","$0.00","$588.50"
"Food: Lunch Spaghetti Meatballs","28","$280.00","0","$0.00","$280.00"
"Food: Lunch Spaghtti Marinara","15","$145.00","0","$0.00","$145.00"
"Food: Lunch Veg Lasagna","33","$330.00","0","$0.00","$330.00"
"Food: Maison Full","4","$31.32","0","$0.00","$31.32"
"Food: Maison Half","15","$89.37","0","$0.00","$89.37"
"Food: Mashed Potato","1","$4.00","0","$0.00","$4.00"
"Food: Meatballs","16","$203.00","0","$0.00","$203.00"
"Food: Mussels Provencal","9","$112.00","0","$0.00","$112.00"
"Food: NY Cheese Cake","5","$35.00","0","$0.00","$35.00"
"Food: Pasta Of Day","2","$36.00","0","$0.00","$36.00"
"Food: Peel N Eat","5","$65.80","0","$0.00","$65.80"
"Food: Pomme Frites","1","$5.00","0","$0.00","$5.00"
"Food: Quiche","11","$110.00","0","$0.00","$110.00"
"Food: Rack Of Lamb","12","$266.25","0","$0.00","$266.25"
"Food: Roasted Chicken","25","$414.80","0","$0.00","$414.80"
"Food: Salad In A Jar","4","$20.00","0","$0.00","$20.00"
"Food: Salmon Benidict","6","$84.00","0","$0.00","$84.00"
"Food: Scallops","7","$133.00","0","$0.00","$133.00"
"Food: Shrimp & Grits","6","$72.00","0","$0.00","$72.00"
"Food: Shrimp Juno","40","$428.17","0","$0.00","$428.17"
