"From: Jul 1, 2015, 12:00:27 AM To: Aug 1, 2015, 12:00:05 AM
Generated On: Sep 28, 2015, 10:15:18 AM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Food: Junior Spaghetti w Meatball","1","$8.00","0","$0.00","$8.00"
"Food: Lamb Lollies","14","$213.00","0","$0.00","$213.00"
"Food: Maison Full","6","$46.00","0","$0.00","$46.00"
"Food: Maison Half","7","$36.00","0","$0.00","$36.00"
"Food: Mashed Potato","1","$4.00","0","$0.00","$4.00"
"Food: Meatballs","14","$156.00","0","$0.00","$156.00"
"Food: Mussels Provencal","13","$182.00","0","$0.00","$182.00"
"Food: NY Cheese Cake","9","$63.00","0","$0.00","$63.00"
"Food: Omelet","1","$12.00","0","$0.00","$12.00"
"Food: Pomme Frites","1","$5.00","0","$0.00","$5.00"
"Food: Quiche","5","$60.00","0","$0.00","$60.00"
"Food: Rack Of Lamb","22","$509.00","0","$0.00","$509.00"
"Food: Red Cabbage","1","$5.00","0","$0.00","$5.00"
"Food: Roasted Chicken","23","$374.00","0","$0.00","$374.00"
"Food: Salmon Benidict","4","$60.00","0","$0.00","$60.00"
"Food: Scallops","5","$76.00","0","$0.00","$76.00"
"Food: Shrimp & Grits","4","$52.00","0","$0.00","$52.00"
"Food: Shrimp Juno","40","$452.00","0","$0.00","$452.00"
"Food: Soupe Du Jour Bowl","9","$62.00","0","$0.00","$62.00"
"Food: Soupe Du Jour Cup","19","$108.00","0","$0.00","$108.00"
"Food: Steak & Eggs","2","$24.00","0","$0.00","$24.00"
"Food: Tiramisu","15","$105.00","0","$0.00","$105.00"
"Food: Veal Picatta","35","$646.00","0","$0.00","$646.00"
"Non Alcoholic: Bloody Mary","1","$5.00","0","$0.00","$5.00"
"Non Alcoholic: Cappuccino","1","$4.00","0","$0.00","$4.00"
"Non Alcoholic: Coffee","25","$48.00","0","$0.00","$48.00"
"Non Alcoholic: Decaf Coffee","4","$8.00","0","$0.00","$8.00"
"Non Alcoholic: Diet Pepsi","7","$13.50","0","$0.00","$13.50"
"Non Alcoholic: Dr. Pepper","4","$9.00","0","$0.00","$9.00"
"Non Alcoholic: Hot Tea","2","$4.50","0","$0.00","$4.50"
"Non Alcoholic: Iced Tea","30","$67.50","0","$0.00","$67.50"
"Non Alcoholic: Misc","1","$0.01","0","$0.00","$0.01"
"Non Alcoholic: Pepsi ","4","$9.00","0","$0.00","$9.00"
"Non Alcoholic: Sierra Mist","5","$11.25","0","$0.00","$11.25"
"Non Alcoholic: Unsweet Tea","10","$22.50","0","$0.00","$22.50"
"Wine: Altos Malbec Gls","5","$30.00","0","$0.00","$30.00"
"Wine: Ballade Gls","1","$5.00","0","$0.00","$5.00"
"Wine: Campellares Rioja Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Campellares Rioja Glass","11","$72.00","0","$0.00","$72.00"
"Wine: Charles De Fere Glass","41","$201.75","0","$0.00","$201.75"
"Wine: Chateau Briot Bottle","1","$24.00","0","$0.00","$24.00"
"Wine: Chateau Briot Glass","5","$29.00","0","$0.00","$29.00"
"Wine: Chateaumar Grenache Bottle","3","$84.00","0","$0.00","$84.00"
"Wine: Chateaumar Grenache Glass","6","$42.00","0","$0.00","$42.00"
"Wine: Chelsea Merlot Gls","6","$45.00","0","$0.00","$45.00"
"Wine: Corbières Glass","2","$14.00","0","$0.00","$14.00"
"Wine: Cork Fee","1","$10.00","0","$0.00","$10.00"
"Wine: Deloach Pinot Noir Gls","6","$36.00","0","$0.00","$36.00"
"Wine: Essential Rose'","3","$20.00","0","$0.00","$20.00"
"Wine: Etoile Malbec Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: Etoile Malbec Glass","3","$21.00","0","$0.00","$21.00"
"Wine: Giacato P.G. Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: Giacato P.G. Glass","15","$105.00","0","$0.00","$105.00"
"Wine: Heron Chard Bottle","5","$110.00","0","$0.00","$110.00"
"Wine: Heron Chardonnay Gls","44","$258.00","0","$0.00","$258.00"
"Wine: Hogwash Rose Glass","1","$7.00","0","$0.00","$7.00"
"Wine: Leitz Out Glass","18","$108.00","0","$0.00","$108.00"
"Wine: Lyric Pinot Glass","7","$56.00","0","$0.00","$56.00"
"Wine: Malvira Arneis Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Micael David Chard Btl","2","$72.00","0","$0.00","$72.00"
"Wine: Micael David Chard Gls","11","$99.00","0","$0.00","$99.00"
"Wine: Monte Velho Bottle","4","$128.00","0","$0.00","$128.00"
"Wine: Monte Velho Glass","5","$40.00","0","$0.00","$40.00"
"Wine: Mulderbosch Chenin Glass","11","$70.50","0","$0.00","$70.50"
"Wine: Oberon Cab Bottle","1","$38.00","0","$0.00","$38.00"
"Wine: Oberon Cab Glass","30","$284.00","0","$0.00","$284.00"
"Wine: Louis Bernard Chateaneuf Bottle","1","$45.00","0","$0.00","$45.00"
"Wine: R. Père Macon Village Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: R. Père Macon Villages Glass","3","$21.00","0","$0.00","$21.00"
"Wine: Schmitt Sohne Gls","10","$60.00","0","$0.00","$60.00"
"Wine: Secco Moscato Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Secco Moscato Glass","12","$96.00","0","$0.00","$96.00"
"Wine: Sensation CDR Gls","5","$11.67","0","$0.00","$11.67"
"Wine: Sin Zin Bottle","6","$168.00","0","$0.00","$168.00"
"Wine: Sin Zin Glass","15","$102.00","0","$0.00","$102.00"
"Wine: Special Red","15","$75.00","0","$0.00","$75.00"
"Wine: Special Red","34","$600.00","0","$0.00","$600.00"
"Wine: Special White","11","$40.00","0","$0.00","$40.00"
"Wine: Tamari Bottle","1","$24.00","0","$0.00","$24.00"
"Wine: Tamari Cab Gls","18","$90.00","0","$0.00","$90.00"
"Wine: UBY Glass","7","$35.00","0","$0.00","$35.00"
"Wine: V Veldelho Glass","3","$21.00","0","$0.00","$21.00"
"Wine: Velvet Devil Glass","24","$137.00","0","$0.00","$137.00"
"Wine: Walnut City Pinot Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Walnut City Pinot Glass","6","$48.00","0","$0.00","$48.00"
"Wine: Whitehaven Bottle","3","$72.00","0","$0.00","$72.00"
"Wine: Whitehaven Glass","35","$195.00","0","$0.00","$195.00"
"Wine: Xavier CDR Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: Xavier CDR Glass","8","$54.00","0","$0.00","$54.00"
"Alcohol: Bacardi Superior","1","$5.00","$5.00"
"Alcohol: Baileys","2","$12.00","$12.00"
"Alcohol: Dewar's White Label","1","$6.25","$6.25"
"Alcohol: Makers Mark","8","$52.00","$52.00"
"Alcohol: Martini","1","$7.00","$7.00"
"Alcohol: Mimosa","2","$15.50","$15.50"
"Alcohol: Savalle Hendricks Gardentini","1","$10.00","$10.00"
"Alcohol: Savalle Mojito","1","$10.00","$10.00"
"Alcohol: Savalle Pom Cosmo","2","$20.00","$20.00"
"Alcohol: Scotch","1","$4.50","$4.50"
"Beer: Bud Light","1","$3.50","$3.50"
"Beer: Stella Artois Lager","1","$4.50","$4.50"
"Food: $1 Maison","2","$2.00","$2.00"
"Food: Bleu Caesar Half","1","$6.00","$6.00"
"Food: Cappellini","2","$34.00","$34.00"
"Food: Chicken Rav Entree","1","$18.00","$18.00"
"Food: Chicken Schnitzel","2","$32.00","$32.00"
"Food: Chicken Tenders","1","$7.00","$7.00"
"Food: Dessert Special","2","$12.00","$12.00"
"Food: Duck","1","$24.00","$24.00"
"Food: Filet Mignon","3","$90.00","$90.00"
"Food: Free Caesar","4","$0.04","$0.04"
"Food: Free Wedge","1","$0.01","$0.01"
"Food: Grilled Salmon","2","$46.00","$46.00"
"Food: House Special","3","$50.00","$50.00"
"Food: Jager Schnitzel","1","$18.00","$18.00"
"Food: Lamb Lollies","2","$33.00","$33.00"
"Food: Maison Half","3","$18.00","$18.00"
"Food: NY Cheese Cake","1","$7.00","$7.00"
"Food: Roasted Chicken","1","$17.00","$17.00"
"Food: Shrimp Juno","5","$60.00","$60.00"
"Non Alcoholic: Cappuccino","1","$4.00","$4.00"
"Non Alcoholic: San Pellegrino","1","$3.00","$3.00"
"Wine: Altos Malbec Gls","1","$6.00","$6.00"
"Wine: Charles De Fere Glass","2","$11.50","$11.50"
"Wine: Chateau Briot Glass","2","$12.00","$12.00"
"Wine: Etoile Malbec Glass","3","$21.00","$21.00"
"Wine: Heron Chardonnay Gls","4","$24.00","$24.00"
"Wine: Monte Velho Bottle","1","$32.00","$32.00"
"Wine: Oberon Cab Bottle","1","$38.00","$38.00"
"Wine: Special Red","1","$19.00","$19.00"
"Wine: Tamari Cab Gls","3","$18.00","$18.00"
"Wine: Velvet Devil Glass","2","$12.00","$12.00"
"Wine: Walnut City Pinot Bottle","1","$32.00","$32.00"
"Wine: Whitehaven Bottle","2","$48.00","$48.00"
"Wine: Whitehaven Glass","2","$12.00","$12.00"
