"From: May 5, 2015, 2:52:49 PM To: May 25, 2015, 5:22:11 PM
Generated On: May 25, 2015, 5:23:45 PM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Food: Steak Frites","35","$715.00","0","$0.00","$715.00"
"Food: Bleu Caesar Half","54","$321.20","0","$0.00","$321.20"
"Food: Blue Caesar Full","17","$124.00","0","$0.00","$124.00"
"Food: Bread Pudding","9","$59.50","0","$0.00","$59.50"
"Food: Brulee","13","$91.00","0","$0.00","$91.00"
"Food: Brussel Sprouts","1","$5.00","0","$0.00","$5.00"
"Food: Junior Buttered Noodles","4","$15.00","0","$0.00","$15.00"
"Food: Caesar Full","13","$96.00","0","$0.00","$96.00"
"Food: Caesar Half","37","$204.00","0","$0.00","$204.00"
"Food: Carpaccio Savalle","14","$198.00","0","$0.00","$198.00"
"Food: Charcutterie Board","31","$788.91","0","$0.00","$788.91"
"Food: Chicken Rav Entree","36","$572.00","0","$0.00","$572.00"
"Food: Chicken Schitz","8","$205.76","0","$0.00","$205.76"
"Food: Chicken Schnitzel","96","$1,322.80","0","$0.00","$1,322.80"
"Food: Chicken Tenders","2","$5.00","0","$0.00","$5.00"
"Food: Choc Brulee","2","$14.00","0","$0.00","$14.00"
"Food: Strawberry Rhubarb Cobbler","17","$119.00","0","$0.00","$119.00"
"Food: Duck","12","$342.00","0","$0.00","$342.00"
"Food: Eggs Benidict","18","$215.00","0","$0.00","$215.00"
"Food: Escargot","33","$390.00","0","$0.00","$390.00"
"Food: Filet Mignon","42","$1,190.00","0","$0.00","$1,190.00"
"Food: Fish Special","72","$2,063.00","0","$0.00","$2,063.00"
"Food: Flourless Chocolate Torte","13","$77.00","0","$0.00","$77.00"
"Food: French Toast","12","$154.00","0","$0.00","$154.00"
"Food: Gift Card $100","1","$100.00","0","$0.00","$100.00"
"Food: Goat Fondue","25","$230.00","0","$0.00","$230.00"
"Food: Grilled Salmon","27","$542.00","0","$0.00","$542.00"
"Food: Haricots Verts & Garlic","1","$5.00","0","$0.00","$5.00"
"Food: House Special","20","$937.01","0","$0.00","$937.01"
"Food: Jager","13","$334.36","0","$0.00","$334.36"
"Food: Jager Schnitzel","73","$1,047.00","0","$0.00","$1,047.00"
"Food: Junior Breakfast","1","$0.00","0","$0.00","$0.00"
"Food: Junior Spaghetti w Meatball","2","$16.00","0","$0.00","$16.00"
"Food: Key Lime Pie","2","$12.00","0","$0.00","$12.00"
"Food: Kids French Toast","1","$0.00","0","$0.00","$0.00"
"Food: Lamb Chops","7","$90.60","0","$0.00","$90.60"
"Food: Lamb Lollies","33","$558.00","0","$0.00","$558.00"
"Food: Maison Full","17","$120.00","0","$0.00","$120.00"
"Food: Maison Half","67","$348.00","0","$0.00","$348.00"
